published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2015-07-27,545918,Stock Market Leverage: How to Start Trading Options Wisely,https://www.udemy.com/stock-market-tips-how-to-successfully-trade-options/,True,95,2153,14,13,Beginner Level,1.5,Business Finance,2015-07-27,2015,3,July,204535,1 : 3,80:110
2015-04-16,471546,Crash Course on Working Capital Management,https://www.udemy.com/crash-course-on-working-capital-management/,True,20,3177,8,8,All Levels,1.0,Business Finance,2015-04-16,2015,2,April,63540,0 : 1,1:20
2016-06-03,866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,https://www.udemy.com/branch-accounts-a-complete-analysis/,True,150,1535,16,462,All Levels,62.0,Business Finance,2016-06-03,2016,2,June,230250,+20,140:170
2016-07-18,889824,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,https://www.udemy.com/61-profit-in-1-month-shattering-your-trading-paradigm/,True,20,1027,29,25,All Levels,1.5,Business Finance,2016-07-18,2016,3,July,20540,1 : 3,1:20
2017-05-01,1191504,How to create a routine Trading,https://www.udemy.com/how-to-create-a-trading-routine/,True,25,307,8,5,All Levels,0.1333333333333333,Business Finance,2017-05-01,2017,2,May,7675,0 : 1,20:50
2015-08-24,585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",https://www.udemy.com/forex-trading-robot-forex-trading/,True,150,2096,48,29,All Levels,0.6833333333333333,Business Finance,2015-08-24,2015,3,August,314400,0 : 1,140:170
2015-11-18,671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,https://www.udemy.com/forex-sos-course/,True,50,1315,48,59,Beginner Level,2.5,Business Finance,2015-11-18,2015,4,November,65750,1 : 3,20:50
2017-02-09,1105344,Quantitative Aptitude for Banking & Competitive Examinations,https://www.udemy.com/quantitative-aptitude-for-competitive-examinations-part-i/,True,50,1056,1,42,All Levels,3.0,Business Finance,2017-02-09,2017,1,February,52800,1 : 3,20:50
2016-05-05,840300,B Com Accountancy I (Paper ECO 02 IGNOU),https://www.udemy.com/accounts-from-incomplete-records/,True,50,2946,6,284,All Levels,31.5,Business Finance,2016-05-05,2016,2,May,147300,+20,20:50
2017-02-20,1100054,FOREX TRADING - Learn in a quick + profitable way + support,https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/,True,100,271,48,47,All Levels,3.5,Business Finance,2017-02-20,2017,1,February,27100,3 : 7,80:110
2015-02-13,421054,Auditing Basics (Professional Course Level),https://www.udemy.com/basics-of-auditing/,True,25,3771,10,35,All Levels,2.5,Business Finance,2015-02-13,2015,1,February,94275,1 : 3,20:50
2015-11-10,528784,Stock market Investing Encyclopedia: How to invest in stocks,https://www.udemy.com/stockmarket/,True,200,3143,11,39,Intermediate Level,3.0,Business Finance,2015-11-10,2015,4,November,628600,1 : 3,170:200
2015-10-13,637430,Learn the basics of preparing accounting statements,https://www.udemy.com/basics-of-financial-accounting/,True,20,1951,30,20,Intermediate Level,0.55,Business Finance,2015-10-13,2015,4,October,39020,0 : 1,1:20
2016-12-15,236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,https://www.udemy.com/forex-trading-with-the-elliot-wave-theory/,True,90,4022,35,14,Expert Level,1.0,Business Finance,2016-12-15,2016,4,December,361980,0 : 1,80:110
2015-04-20,474238,Excel functions to analyze and visualize data,https://www.udemy.com/basic-excel-functions-to-analyze-large-data/,True,20,2283,54,16,Intermediate Level,2.0,Business Finance,2015-04-20,2015,2,April,45660,1 : 3,1:20
2017-06-29,1245244,Building Financial Statements in Excel,https://www.udemy.com/guide-to-building-financial-statements/,True,35,1181,1,18,Beginner Level,1.0,Business Finance,2017-06-29,2017,2,June,41335,0 : 1,20:50
2016-12-28,1051570,Transfer Pricing A Complete Analysis,https://www.udemy.com/transfer-pricing-a-complete-analysis/,True,50,1852,3,14,All Levels,2.5,Business Finance,2016-12-28,2016,4,December,92600,1 : 3,20:50
2017-04-24,1188178,Forex Trading for Beginners - Basics,https://www.udemy.com/complete-forex-trading-for-beginners-in-1-course-basics/,True,50,989,9,11,All Levels,1.0,Business Finance,2017-04-24,2017,2,April,49450,0 : 1,20:50
2017-03-23,1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),https://www.udemy.com/killer-trading-plan-6-year-old-can-invest-10-hours-stocks-forex-etf/,True,200,1087,14,61,All Levels,9.5,Business Finance,2017-03-23,2017,1,March,217400,7 : 12,170:200
2017-06-07,1243448,"Forex Trading with Fixed 'Risk through Options Trading""",https://www.udemy.com/forexoptions/,True,200,611,4,26,Beginner Level,1.0,Business Finance,2017-06-07,2017,2,June,122200,0 : 1,170:200
2017-05-02,1198166,Top 10 Trading Ideas in the Equities Market,https://www.udemy.com/top-10-trading-ideas-in-the-equities-market/,True,20,661,4,12,All Levels,1.0,Business Finance,2017-05-02,2017,2,May,13220,0 : 1,1:20
2016-01-10,722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,https://www.udemy.com/trade-forex/,True,150,3523,46,45,All Levels,4.0,Business Finance,2016-01-10,2016,1,January,528450,3 : 7,140:170
2017-03-14,1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,True,200,453,42,33,Intermediate Level,3.0,Business Finance,2017-03-14,2017,1,March,90600,1 : 3,170:200
2016-11-16,812616,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,True,20,2437,12,23,All Levels,1.5,Business Finance,2016-11-16,2016,4,November,48740,1 : 3,1:20
2015-08-06,512400,EFT for Stock Options Trading Success & Making Better Trades,https://www.udemy.com/eft-for-stock-option-trading-success/,True,95,4530,13,31,All Levels,1.5,Business Finance,2015-08-06,2015,3,August,430350,1 : 3,80:110
2017-04-26,1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,True,20,727,11,25,Beginner Level,3.0,Business Finance,2017-04-26,2017,2,April,14540,1 : 3,1:20
2016-08-31,945750,Fundamentals of Accounting,https://www.udemy.com/fundamentals-of-accounting/,True,20,1560,43,25,All Levels,3.0,Business Finance,2016-08-31,2016,3,August,31200,1 : 3,1:20
2017-01-26,1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",https://www.udemy.com/charting-rsi-options-stock-trading-for-beginners-newtechnical-analysis/,True,200,1047,9,46,All Levels,3.5,Business Finance,2017-01-26,2017,1,January,209400,3 : 7,170:200
2017-04-24,1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,https://www.udemy.com/basics-of-mutual-funds-for-ca-cma-cs-cfa-exams/,True,125,1045,2,17,Intermediate Level,1.0,Business Finance,2017-04-24,2017,2,April,130625,0 : 1,110:140
2015-01-27,402836,Accounting 101: How to read an Accounting Balance Sheet,https://www.udemy.com/financial-statements-101-how-to-read-a-balance-sheet/,True,200,3050,86,22,Beginner Level,2.0,Business Finance,2015-01-27,2015,1,January,610000,1 : 3,170:200
2015-09-29,588764,Stock Options Day Trading Mindset for Success,https://www.udemy.com/stock-options-day-trading-success-mindset/,True,200,2988,21,43,All Levels,4.5,Business Finance,2015-09-29,2015,3,September,597600,3 : 7,170:200
2015-10-08,598266,Trading for everyone - The Independent Investor Course I,https://www.udemy.com/trading-for-everyone-the-independent-investor-course/,True,120,4133,15,36,Beginner Level,4.0,Business Finance,2015-10-08,2015,4,October,495960,3 : 7,110:140
2016-04-28,814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,https://www.udemy.com/entrepreneurship-buy-and-sell-your-startup-or-business/,True,195,1420,70,29,All Levels,2.5,Business Finance,2016-04-28,2016,2,April,276900,1 : 3,170:200
2017-01-23,1076920,Stock Market investment: Practical Accounting,https://www.udemy.com/stock-market-investment-practical-accounting/,True,125,1120,6,43,Beginner Level,3.0,Business Finance,2017-01-23,2017,1,January,140000,1 : 3,110:140
2017-02-07,1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",https://www.udemy.com/best-penny-stock-options-to-buy-hot-stocks-put-call-stock-options/,True,200,668,12,22,All Levels,1.0,Business Finance,2017-02-07,2017,1,February,133600,0 : 1,170:200
2015-03-08,441112,Accounting Basics in 66 Minutes (absolutely for beginners),https://www.udemy.com/accounting-through-visual-presentation/,True,25,4086,31,14,All Levels,1.5,Business Finance,2015-03-08,2015,1,March,102150,1 : 3,20:50
